@relation 'datasets_45152_82501_insurance_claims-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R3-4,18,24-25-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute incident_severity {'Major Damage','Minor Damage','Total Loss','Trivial Damage'}
@attribute insured_hobbies {sleeping,reading,board-games,bungie-jumping,base-jumping,golf,camping,dancing,skydiving,movies,hiking,yachting,paintball,chess,kayaking,polo,basketball,video-games,cross-fit,exercise}
@attribute auto_model {92x,E400,RAM,Tahoe,RSX,95,Pathfinder,A5,Camry,F150,A3,Highlander,Neon,MDX,Maxima,Legacy,TL,Impreza,Forrestor,Escape,Corolla,'3 Series',C300,Wrangler,M5,X5,Civic,Passat,Silverado,CRV,93,Accord,X6,Malibu,Fusion,Jetta,ML350,Ultima,'Grand Cherokee'}
@attribute vehicle_claim numeric
@attribute total_claim_amount numeric
@attribute incident_type {'Single Vehicle Collision','Vehicle Theft','Multi-vehicle Collision','Parked Car'}
@attribute authorities_contacted {Police,None,Fire,Other,Ambulance}
@attribute property_claim numeric
@attribute injury_claim numeric
@attribute insured_occupation {craft-repair,machine-op-inspct,sales,armed-forces,tech-support,prof-specialty,other-service,priv-house-serv,exec-managerial,protective-serv,transport-moving,handlers-cleaners,adm-clerical,farming-fishing}
@attribute fraud_reported {Y,N}

@data
'Major Damage',skydiving,Silverado,58960,73700,'Single Vehicle Collision',Other,7370,7370,adm-clerical,Y
'Trivial Damage',camping,Ultima,5040,6300,'Parked Car',None,630,630,exec-managerial,N
'Total Loss',paintball,RAM,43600,65400,'Multi-vehicle Collision',Ambulance,10900,10900,tech-support,N
'Trivial Damage',board-games,E400,2240,3200,'Vehicle Theft',None,320,640,armed-forces,N
'Major Damage',golf,RAM,52780,75400,'Single Vehicle Collision',Fire,15080,7540,tech-support,Y
'Minor Damage',golf,92x,45220,58140,'Single Vehicle Collision',Fire,6460,6460,machine-op-inspct,N
'Total Loss',chess,Tahoe,68310,98670,'Multi-vehicle Collision',Ambulance,15180,15180,other-service,Y
'Minor Damage',golf,E400,4130,5900,'Parked Car',None,590,1180,machine-op-inspct,N
'Major Damage',paintball,Malibu,51280,64100,'Single Vehicle Collision',Fire,6410,6410,armed-forces,N
'Total Loss',yachting,Forrestor,40320,55440,'Multi-vehicle Collision',Fire,10080,5040,transport-moving,Y
'Major Damage',yachting,F150,58800,80850,'Multi-vehicle Collision',Police,14700,7350,sales,Y
'Trivial Damage',bungie-jumping,95,6120,7480,'Vehicle Theft',Police,680,680,transport-moving,N
'Major Damage',movies,Maxima,41720,53640,'Single Vehicle Collision',Fire,5960,5960,transport-moving,Y
'Major Damage',base-jumping,Tahoe,46000,63250,'Multi-vehicle Collision',Fire,11500,5750,tech-support,Y
'Major Damage',golf,RAM,39360,59040,'Multi-vehicle Collision',Ambulance,9840,9840,farming-fishing,N
'Total Loss',base-jumping,TL,35350,50500,'Multi-vehicle Collision',Other,5050,10100,craft-repair,N
'Major Damage',cross-fit,C300,38460,57690,'Single Vehicle Collision',Police,12820,6410,machine-op-inspct,Y
'Trivial Damage',base-jumping,Camry,4620,5940,'Vehicle Theft',Police,660,660,sales,N
'Major Damage',dancing,Impreza,37170,47790,'Multi-vehicle Collision',Fire,5310,5310,exec-managerial,Y
'Trivial Damage',skydiving,Neon,3150,3850,'Parked Car',None,350,350,priv-house-serv,N
'Major Damage',reading,Fusion,47200,59000,'Single Vehicle Collision',Police,5900,5900,other-service,Y
'Major Damage',golf,Passat,49420,70600,'Multi-vehicle Collision',Ambulance,14120,7060,machine-op-inspct,Y
'Minor Damage',base-jumping,RAM,44720,61490,'Multi-vehicle Collision',Police,11180,5590,armed-forces,N
'Minor Damage',kayaking,Passat,41920,57640,'Single Vehicle Collision',Police,10480,5240,protective-serv,N
'Trivial Damage',movies,A5,4770,6890,'Vehicle Theft',Police,1060,1060,craft-repair,N
'Major Damage',hiking,Camry,35520,53280,'Multi-vehicle Collision',Fire,5920,11840,machine-op-inspct,Y
'Minor Damage',video-games,X5,54810,78300,'Multi-vehicle Collision',Fire,7830,15660,handlers-cleaners,N
'Major Damage',reading,Pathfinder,32270,41490,'Multi-vehicle Collision',Ambulance,4610,4610,protective-serv,N
'Total Loss',camping,Tahoe,50160,68970,'Multi-vehicle Collision',Fire,6270,12540,machine-op-inspct,N
'Minor Damage',camping,Highlander,59710,85300,'Multi-vehicle Collision',Police,8530,17060,handlers-cleaners,N
'Minor Damage',camping,A3,2240,3080,'Parked Car',None,280,560,other-service,N
'Major Damage',paintball,'Grand Cherokee',49680,71760,'Multi-vehicle Collision',Police,11040,11040,craft-repair,Y
'Minor Damage',skydiving,Ultima,35820,59700,'Multi-vehicle Collision',Ambulance,11940,11940,armed-forces,N
'Minor Damage',skydiving,Fusion,43280,64920,'Multi-vehicle Collision',Fire,10820,10820,other-service,N
'Major Damage',board-games,Wrangler,29190,37530,'Multi-vehicle Collision',Ambulance,4170,4170,machine-op-inspct,N
'Total Loss',paintball,93,49840,64080,'Multi-vehicle Collision',Ambulance,7120,7120,tech-support,N
'Minor Damage',cross-fit,M5,43920,60390,'Single Vehicle Collision',Other,5490,10980,prof-specialty,Y
'Major Damage',exercise,Pathfinder,46800,64350,'Multi-vehicle Collision',Police,11700,5850,armed-forces,Y
'Minor Damage',sleeping,X6,49630,70900,'Multi-vehicle Collision',Police,7090,14180,other-service,N
'Minor Damage',movies,Ultima,31040,46560,'Multi-vehicle Collision',Fire,7760,7760,craft-repair,N
'Trivial Damage',cross-fit,Malibu,3010,4730,'Vehicle Theft',Police,860,860,craft-repair,Y
'Minor Damage',video-games,'Grand Cherokee',4340,6820,'Vehicle Theft',Police,1240,1240,transport-moving,N
'Major Damage',sleeping,X5,41930,59900,'Single Vehicle Collision',Police,5990,11980,tech-support,Y
'Major Damage',basketball,Escape,53040,79560,'Multi-vehicle Collision',Police,13260,13260,priv-house-serv,N
'Total Loss',kayaking,MDX,51120,70290,'Single Vehicle Collision',Other,6390,12780,adm-clerical,N
'Total Loss',hiking,Forrestor,46480,63910,'Multi-vehicle Collision',Ambulance,11620,5810,priv-house-serv,N
'Trivial Damage',golf,Camry,5120,6400,'Vehicle Theft',None,640,640,transport-moving,N
'Major Damage',movies,Escape,51940,66780,'Single Vehicle Collision',Ambulance,7420,7420,handlers-cleaners,Y
'Minor Damage',hiking,'3 Series',5840,8760,'Parked Car',Police,1460,1460,sales,N
'Major Damage',kayaking,Malibu,68480,94160,'Single Vehicle Collision',Ambulance,17120,8560,machine-op-inspct,N
'Total Loss',golf,X5,34380,51570,'Multi-vehicle Collision',Ambulance,11460,5730,protective-serv,N
'Major Damage',polo,X6,31620,52700,'Multi-vehicle Collision',Fire,10540,10540,handlers-cleaners,Y
'Minor Damage',dancing,ML350,69930,101010,'Single Vehicle Collision',Fire,15540,15540,sales,N
'Minor Damage',golf,Civic,42720,53400,'Multi-vehicle Collision',Police,5340,5340,exec-managerial,Y
'Total Loss',basketball,ML350,48080,72120,'Single Vehicle Collision',Fire,12020,12020,prof-specialty,N
'Minor Damage',reading,A3,53970,77100,'Multi-vehicle Collision',Police,15420,7710,protective-serv,N
'Trivial Damage',dancing,RAM,2700,3300,'Parked Car',Police,0,600,handlers-cleaners,N
'Minor Damage',golf,Pathfinder,4320,5940,'Parked Car',None,540,1080,adm-clerical,N
'Major Damage',video-games,TL,35400,63720,'Multi-vehicle Collision',Other,21240,7080,transport-moving,N
'Trivial Damage',base-jumping,A5,5760,7680,'Vehicle Theft',Police,640,1280,farming-fishing,N
'Total Loss',yachting,CRV,57680,93730,'Multi-vehicle Collision',Police,21630,14420,handlers-cleaners,N
'Major Damage',base-jumping,Wrangler,52380,87300,'Multi-vehicle Collision',Police,17460,17460,sales,N
'Trivial Damage',camping,F150,3780,5670,'Parked Car',Police,630,1260,transport-moving,N
'Minor Damage',bungie-jumping,TL,46060,65800,'Multi-vehicle Collision',Other,6580,13160,priv-house-serv,N
'Major Damage',base-jumping,Accord,28560,36720,'Single Vehicle Collision',Other,4080,4080,handlers-cleaners,Y
'Major Damage',kayaking,ML350,38400,52800,'Single Vehicle Collision',Fire,9600,4800,farming-fishing,Y
'Total Loss',cross-fit,Maxima,47280,59100,'Multi-vehicle Collision',Fire,5910,5910,protective-serv,Y
'Total Loss',hiking,Legacy,56320,77440,'Multi-vehicle Collision',Other,7040,14080,machine-op-inspct,N
'Total Loss',golf,'3 Series',36560,45700,'Multi-vehicle Collision',Fire,4570,4570,armed-forces,N
'Major Damage',dancing,Camry,58720,80740,'Multi-vehicle Collision',Other,14680,7340,sales,Y
'Major Damage',base-jumping,Accord,22800,31350,'Multi-vehicle Collision',Ambulance,5700,2850,sales,Y
'Total Loss',skydiving,Legacy,24500,35000,'Single Vehicle Collision',Other,7000,3500,handlers-cleaners,N
'Total Loss',board-games,Corolla,47600,68000,'Multi-vehicle Collision',Police,6800,13600,protective-serv,N
'Minor Damage',golf,X6,58500,84500,'Multi-vehicle Collision',Other,13000,13000,machine-op-inspct,N
'Minor Damage',bungie-jumping,Ultima,52850,75500,'Single Vehicle Collision',Police,15100,7550,transport-moving,N
'Total Loss',bungie-jumping,X5,60400,90600,'Multi-vehicle Collision',Other,15100,15100,exec-managerial,N
'Total Loss',camping,MDX,48240,64320,'Multi-vehicle Collision',Ambulance,10720,5360,adm-clerical,N
'Minor Damage',yachting,Highlander,22190,31700,'Multi-vehicle Collision',Police,3170,6340,transport-moving,N
'Major Damage',reading,Forrestor,49520,74280,'Single Vehicle Collision',Other,12380,12380,protective-serv,Y
'Total Loss',video-games,Corolla,60390,80520,'Single Vehicle Collision',Fire,6710,13420,sales,N
'Major Damage',polo,RAM,44520,63600,'Multi-vehicle Collision',Other,12720,6360,adm-clerical,N
'Total Loss',movies,'3 Series',26240,32800,'Single Vehicle Collision',Police,3280,3280,handlers-cleaners,N
'Total Loss',board-games,A3,29460,44190,'Multi-vehicle Collision',Police,4910,9820,priv-house-serv,N
'Major Damage',sleeping,CRV,35280,50400,'Multi-vehicle Collision',Other,5040,10080,exec-managerial,Y
'Total Loss',sleeping,Pathfinder,61880,88400,'Multi-vehicle Collision',Police,8840,17680,tech-support,N
'Total Loss',bungie-jumping,Jetta,48400,66550,'Multi-vehicle Collision',Fire,6050,12100,farming-fishing,N
'Minor Damage',yachting,Tahoe,47840,65780,'Multi-vehicle Collision',Police,11960,5980,craft-repair,N
'Major Damage',base-jumping,A3,37680,51810,'Multi-vehicle Collision',Other,4710,9420,armed-forces,Y
'Major Damage',board-games,CRV,40480,55660,'Single Vehicle Collision',Other,10120,5060,protective-serv,Y
'Major Damage',base-jumping,Camry,29760,44640,'Single Vehicle Collision',Fire,4960,9920,machine-op-inspct,N
'Major Damage',reading,Maxima,56480,77660,'Multi-vehicle Collision',Ambulance,14120,7060,transport-moving,Y
'Trivial Damage',base-jumping,Ultima,3760,5640,'Parked Car',None,940,940,tech-support,N
'Trivial Damage',reading,Legacy,2030,3190,'Parked Car',None,580,580,prof-specialty,N
'Total Loss',hiking,Escape,46760,53440,'Single Vehicle Collision',Fire,6680,0,prof-specialty,N
'Minor Damage',camping,'3 Series',50750,65250,'Single Vehicle Collision',Police,7250,7250,armed-forces,N
'Minor Damage',sleeping,Silverado,34440,44280,'Multi-vehicle Collision',Fire,4920,4920,armed-forces,N
'Total Loss',camping,RAM,54670,70290,'Single Vehicle Collision',Police,7810,7810,tech-support,N
'Minor Damage',movies,92x,69680,87100,'Single Vehicle Collision',Other,8710,8710,priv-house-serv,N
'Total Loss',video-games,Forrestor,41220,50380,'Multi-vehicle Collision',Fire,4580,4580,priv-house-serv,N
'Total Loss',cross-fit,A3,45360,64800,'Multi-vehicle Collision',Police,6480,12960,sales,Y
'Minor Damage',movies,'3 Series',44800,70400,'Single Vehicle Collision',Other,12800,12800,craft-repair,N
'Major Damage',skydiving,Impreza,47340,57860,'Single Vehicle Collision',Police,10520,0,armed-forces,Y
'Minor Damage',sleeping,Fusion,4320,6240,'Vehicle Theft',None,960,960,protective-serv,N
'Total Loss',board-games,'Grand Cherokee',38850,66600,'Single Vehicle Collision',Police,11100,16650,tech-support,Y
'Minor Damage',hiking,Wrangler,47280,70920,'Single Vehicle Collision',Police,11820,11820,transport-moving,N
'Minor Damage',skydiving,Forrestor,26320,39480,'Single Vehicle Collision',Ambulance,6580,6580,machine-op-inspct,N
'Total Loss',base-jumping,E400,47430,63240,'Single Vehicle Collision',Other,5270,10540,handlers-cleaners,N
'Total Loss',cross-fit,A5,49200,67650,'Multi-vehicle Collision',Other,6150,12300,tech-support,N
'Major Damage',bungie-jumping,TL,44520,74200,'Single Vehicle Collision',Fire,14840,14840,craft-repair,Y
'Minor Damage',polo,Jetta,38940,64900,'Single Vehicle Collision',Other,12980,12980,tech-support,N
'Major Damage',paintball,A3,25130,35900,'Multi-vehicle Collision',Ambulance,3590,7180,machine-op-inspct,Y
'Minor Damage',camping,CRV,36540,52200,'Single Vehicle Collision',Fire,10440,5220,craft-repair,N
'Minor Damage',skydiving,Forrestor,58500,78000,'Single Vehicle Collision',Police,13000,6500,adm-clerical,N
'Minor Damage',base-jumping,Passat,53760,67200,'Multi-vehicle Collision',Ambulance,6720,6720,adm-clerical,N
'Total Loss',golf,Ultima,46000,63250,'Single Vehicle Collision',Fire,5750,11500,prof-specialty,N
'Major Damage',paintball,Fusion,51570,68760,'Multi-vehicle Collision',Other,5730,11460,craft-repair,N
'Minor Damage',movies,Impreza,43360,65040,'Multi-vehicle Collision',Police,10840,10840,other-service,N
'Major Damage',yachting,'Grand Cherokee',48300,82800,'Single Vehicle Collision',Ambulance,13800,20700,adm-clerical,Y
'Total Loss',basketball,93,49360,61700,'Single Vehicle Collision',Other,6170,6170,priv-house-serv,N
'Major Damage',polo,Tahoe,54670,78100,'Multi-vehicle Collision',Ambulance,7810,15620,transport-moving,Y
'Major Damage',paintball,Highlander,46800,65520,'Multi-vehicle Collision',Ambulance,9360,9360,priv-house-serv,Y
'Trivial Damage',polo,93,3600,4500,'Parked Car',None,450,450,prof-specialty,N
'Major Damage',reading,ML350,36600,42700,'Multi-vehicle Collision',Other,6100,0,sales,Y
'Minor Damage',polo,Passat,4340,5580,'Parked Car',Police,620,620,adm-clerical,Y
'Minor Damage',chess,X5,2520,3600,'Parked Car',None,720,360,adm-clerical,Y
'Trivial Damage',dancing,Passat,2240,2800,'Vehicle Theft',None,280,280,exec-managerial,N
'Minor Damage',hiking,Highlander,42000,54000,'Single Vehicle Collision',Ambulance,6000,6000,adm-clerical,N
'Minor Damage',yachting,TL,35600,48950,'Single Vehicle Collision',Police,8900,4450,craft-repair,Y
'Major Damage',hiking,RAM,46680,77800,'Multi-vehicle Collision',Other,15560,15560,exec-managerial,N
'Major Damage',exercise,93,35040,52560,'Multi-vehicle Collision',Other,5840,11680,protective-serv,N
'Total Loss',dancing,Accord,32080,44110,'Multi-vehicle Collision',Police,8020,4010,farming-fishing,N
'Total Loss',video-games,Forrestor,54080,74360,'Single Vehicle Collision',Other,6760,13520,sales,N
'Minor Damage',base-jumping,Civic,4760,6120,'Parked Car',None,680,680,armed-forces,Y
'Minor Damage',chess,Forrestor,46710,62280,'Multi-vehicle Collision',Police,10380,5190,transport-moving,N
'Total Loss',reading,Jetta,17010,26730,'Multi-vehicle Collision',Other,4860,4860,sales,N
'Major Damage',exercise,Neon,52960,66200,'Single Vehicle Collision',Ambulance,6620,6620,craft-repair,N
'Total Loss',polo,Corolla,31850,45500,'Single Vehicle Collision',Fire,4550,9100,other-service,N
'Minor Damage',sleeping,A3,44200,53040,'Multi-vehicle Collision',Ambulance,4420,4420,transport-moving,N
'Major Damage',reading,E400,35560,50800,'Multi-vehicle Collision',Other,5080,10160,other-service,Y
'Total Loss',sleeping,A5,35360,44200,'Multi-vehicle Collision',Police,4420,4420,craft-repair,N
'Minor Damage',base-jumping,Malibu,45760,62920,'Single Vehicle Collision',Police,5720,11440,exec-managerial,N
'Minor Damage',golf,Ultima,38850,49950,'Multi-vehicle Collision',Other,5550,5550,exec-managerial,Y
'Minor Damage',chess,'3 Series',43890,56430,'Single Vehicle Collision',Ambulance,6270,6270,armed-forces,Y
'Minor Damage',board-games,A5,63770,100210,'Single Vehicle Collision',Police,18220,18220,protective-serv,N
'Minor Damage',base-jumping,F150,38220,49140,'Multi-vehicle Collision',Fire,5460,5460,prof-specialty,N
'Major Damage',paintball,E400,44560,66840,'Single Vehicle Collision',Ambulance,5570,16710,other-service,N
'Total Loss',camping,Accord,48580,62460,'Single Vehicle Collision',Other,6940,6940,machine-op-inspct,N
'Total Loss',base-jumping,Ultima,39970,62810,'Multi-vehicle Collision',Other,11420,11420,machine-op-inspct,N
'Major Damage',sleeping,Legacy,40620,54160,'Single Vehicle Collision',Ambulance,6770,6770,priv-house-serv,N
'Major Damage',golf,92x,33880,48400,'Single Vehicle Collision',Ambulance,4840,9680,exec-managerial,N
'Total Loss',golf,Highlander,40040,51480,'Multi-vehicle Collision',Fire,5720,5720,exec-managerial,N
'Total Loss',board-games,95,36190,51700,'Multi-vehicle Collision',Fire,10340,5170,prof-specialty,N
'Total Loss',video-games,Jetta,49140,65520,'Multi-vehicle Collision',Other,5460,10920,exec-managerial,N
'Major Damage',reading,TL,33390,47700,'Multi-vehicle Collision',Other,9540,4770,farming-fishing,Y
'Minor Damage',video-games,MDX,4060,5220,'Vehicle Theft',None,580,580,machine-op-inspct,N
'Major Damage',exercise,Fusion,54990,73320,'Single Vehicle Collision',Other,12220,6110,protective-serv,N
'Minor Damage',dancing,'Grand Cherokee',52430,74900,'Single Vehicle Collision',Fire,7490,14980,adm-clerical,N
'Trivial Damage',dancing,95,2320,3190,'Vehicle Theft',Police,290,580,prof-specialty,N
'Minor Damage',exercise,Malibu,57690,76920,'Single Vehicle Collision',Ambulance,6410,12820,armed-forces,N
'Total Loss',video-games,Wrangler,56720,77990,'Multi-vehicle Collision',Police,14180,7090,priv-house-serv,N
'Total Loss',base-jumping,Escape,41310,59670,'Single Vehicle Collision',Fire,9180,9180,transport-moving,N
'Major Damage',skydiving,C300,32640,44880,'Multi-vehicle Collision',Ambulance,4080,8160,craft-repair,Y
'Minor Damage',skydiving,A5,60240,82830,'Single Vehicle Collision',Ambulance,15060,7530,sales,N
'Minor Damage',cross-fit,Silverado,61440,84480,'Single Vehicle Collision',Other,15360,7680,armed-forces,Y
'Total Loss',skydiving,Civic,55860,79800,'Multi-vehicle Collision',Fire,7980,15960,transport-moving,N
'Minor Damage',exercise,Corolla,33740,53020,'Multi-vehicle Collision',Police,9640,9640,adm-clerical,N
'Total Loss',sleeping,Forrestor,17600,24200,'Multi-vehicle Collision',Police,4400,2200,machine-op-inspct,N
'Minor Damage',camping,Silverado,27510,43230,'Single Vehicle Collision',Fire,7860,7860,exec-managerial,N
'Trivial Damage',cross-fit,Escape,2320,3190,'Vehicle Theft',None,580,290,exec-managerial,N
'Minor Damage',polo,M5,3900,5850,'Parked Car',None,650,1300,adm-clerical,N
'Trivial Damage',video-games,'3 Series',4960,6820,'Parked Car',Police,1240,620,machine-op-inspct,N
'Minor Damage',camping,Tahoe,46320,69480,'Multi-vehicle Collision',Fire,11580,11580,farming-fishing,N
'Major Damage',movies,'Grand Cherokee',70920,94560,'Multi-vehicle Collision',Fire,15760,7880,prof-specialty,N
'Minor Damage',paintball,RAM,6240,7800,'Vehicle Theft',None,780,780,armed-forces,N
'Total Loss',basketball,Legacy,44560,61270,'Single Vehicle Collision',Other,11140,5570,machine-op-inspct,N
'Total Loss',bungie-jumping,ML350,53580,71440,'Single Vehicle Collision',Police,8930,8930,transport-moving,N
'Total Loss',exercise,'Grand Cherokee',38920,55600,'Single Vehicle Collision',Ambulance,5560,11120,priv-house-serv,N
'Trivial Damage',board-games,Wrangler,3500,5000,'Vehicle Theft',Police,500,1000,priv-house-serv,N
'Minor Damage',paintball,X5,66330,95810,'Single Vehicle Collision',Other,14740,14740,exec-managerial,N
'Major Damage',chess,Jetta,48510,69300,'Single Vehicle Collision',Ambulance,13860,6930,tech-support,N
'Total Loss',video-games,Camry,47320,81120,'Single Vehicle Collision',Ambulance,20280,13520,prof-specialty,N
'Major Damage',hiking,Corolla,63180,91260,'Single Vehicle Collision',Other,14040,14040,handlers-cleaners,N
'Minor Damage',kayaking,Fusion,42420,60600,'Single Vehicle Collision',Fire,12120,6060,other-service,N
'Major Damage',base-jumping,Forrestor,45360,64800,'Multi-vehicle Collision',Ambulance,12960,6480,machine-op-inspct,Y
'Major Damage',basketball,Silverado,48640,66880,'Multi-vehicle Collision',Police,12160,6080,exec-managerial,Y
'Total Loss',cross-fit,X5,46560,58200,'Single Vehicle Collision',Ambulance,5820,5820,farming-fishing,N
'Minor Damage',polo,Maxima,47110,60570,'Single Vehicle Collision',Police,6730,6730,priv-house-serv,N
'Major Damage',camping,ML350,52260,69680,'Multi-vehicle Collision',Ambulance,8710,8710,exec-managerial,Y
'Total Loss',bungie-jumping,Maxima,38990,55700,'Single Vehicle Collision',Fire,11140,5570,transport-moving,N
'Total Loss',sleeping,Neon,51030,62370,'Multi-vehicle Collision',Ambulance,5670,5670,transport-moving,N
'Total Loss',yachting,92x,44460,54340,'Multi-vehicle Collision',Other,0,9880,priv-house-serv,N
'Major Damage',base-jumping,A5,42910,55170,'Single Vehicle Collision',Police,6130,6130,priv-house-serv,Y
'Minor Damage',exercise,RAM,40950,58500,'Single Vehicle Collision',Other,5850,11700,priv-house-serv,N
'Major Damage',skydiving,CRV,46620,59940,'Single Vehicle Collision',Fire,6660,6660,priv-house-serv,N
'Total Loss',reading,Neon,58720,73400,'Single Vehicle Collision',Police,7340,7340,machine-op-inspct,N
'Major Damage',bungie-jumping,Legacy,32550,41850,'Single Vehicle Collision',Fire,4650,4650,exec-managerial,N
'Trivial Damage',chess,ML350,4480,6400,'Parked Car',Police,1280,640,priv-house-serv,Y
'Trivial Damage',sleeping,A5,2320,3190,'Vehicle Theft',Police,290,580,other-service,N
'Trivial Damage',polo,Pathfinder,4720,5900,'Parked Car',None,590,590,handlers-cleaners,N
'Total Loss',yachting,Neon,44590,57330,'Single Vehicle Collision',Fire,6370,6370,protective-serv,N
'Total Loss',board-games,Neon,54640,81960,'Multi-vehicle Collision',Other,13660,13660,tech-support,N
'Major Damage',exercise,Legacy,44800,70400,'Single Vehicle Collision',Fire,19200,6400,transport-moving,Y
'Minor Damage',paintball,'Grand Cherokee',2610,3770,'Parked Car',None,580,580,protective-serv,N
'Minor Damage',reading,Neon,5180,7400,'Parked Car',None,1480,740,sales,N
'Total Loss',chess,Silverado,42630,54810,'Single Vehicle Collision',Police,6090,6090,farming-fishing,Y
'Total Loss',dancing,Wrangler,34580,49400,'Single Vehicle Collision',Fire,9880,4940,priv-house-serv,N
'Minor Damage',exercise,Malibu,50000,68750,'Single Vehicle Collision',Fire,6250,12500,tech-support,N
'Total Loss',yachting,Neon,43050,61500,'Single Vehicle Collision',Ambulance,6150,12300,adm-clerical,N
'Major Damage',reading,X6,55920,76890,'Multi-vehicle Collision',Ambulance,13980,6990,other-service,N
'Minor Damage',base-jumping,Camry,37380,56070,'Single Vehicle Collision',Ambulance,12460,6230,other-service,N
'Total Loss',reading,Malibu,42000,56000,'Single Vehicle Collision',Fire,0,14000,transport-moving,N
'Trivial Damage',board-games,A3,3120,4290,'Parked Car',None,390,780,priv-house-serv,N
'Total Loss',reading,Forrestor,47250,60750,'Multi-vehicle Collision',Other,6750,6750,transport-moving,N
'Minor Damage',board-games,Malibu,39870,48730,'Single Vehicle Collision',Other,4430,4430,machine-op-inspct,N
'Minor Damage',video-games,Escape,60550,95150,'Multi-vehicle Collision',Police,17300,17300,adm-clerical,N
'Minor Damage',yachting,Neon,6120,7480,'Vehicle Theft',Police,680,680,craft-repair,N
'Major Damage',movies,Passat,59850,79800,'Single Vehicle Collision',Ambulance,6650,13300,transport-moving,Y
'Total Loss',board-games,Wrangler,77670,103560,'Single Vehicle Collision',Other,17260,8630,priv-house-serv,N
'Minor Damage',yachting,MDX,55650,79500,'Single Vehicle Collision',Ambulance,7950,15900,other-service,N
'Minor Damage',base-jumping,Passat,55440,76230,'Single Vehicle Collision',Other,13860,6930,tech-support,Y
'Minor Damage',board-games,Accord,39680,59520,'Single Vehicle Collision',Ambulance,9920,9920,protective-serv,N
'Major Damage',hiking,Impreza,35820,47760,'Multi-vehicle Collision',Police,5970,5970,tech-support,Y
'Total Loss',golf,93,61520,84590,'Multi-vehicle Collision',Police,7690,15380,prof-specialty,N
'Total Loss',skydiving,Ultima,47950,61650,'Multi-vehicle Collision',Other,6850,6850,handlers-cleaners,N
'Major Damage',dancing,M5,65120,81400,'Single Vehicle Collision',Police,8140,8140,handlers-cleaners,N
'Major Damage',camping,Tahoe,42480,58410,'Multi-vehicle Collision',Fire,5310,10620,transport-moving,N
'Major Damage',exercise,Passat,31590,38610,'Multi-vehicle Collision',Ambulance,3510,3510,protective-serv,N
'Minor Damage',yachting,Passat,38400,57600,'Multi-vehicle Collision',Fire,9600,9600,farming-fishing,N
'Minor Damage',kayaking,Jetta,35460,53190,'Multi-vehicle Collision',Fire,11820,5910,protective-serv,N
'Major Damage',skydiving,Maxima,40810,58300,'Single Vehicle Collision',Other,11660,5830,craft-repair,Y
'Minor Damage',video-games,Neon,57440,64620,'Multi-vehicle Collision',Ambulance,0,7180,tech-support,N
'Total Loss',hiking,X6,60320,90480,'Multi-vehicle Collision',Ambulance,15080,15080,armed-forces,N
'Trivial Damage',kayaking,Maxima,4720,7080,'Vehicle Theft',None,1180,1180,farming-fishing,N
'Minor Damage',chess,Camry,4720,6490,'Parked Car',Police,1180,590,exec-managerial,Y
'Total Loss',golf,Ultima,44720,55900,'Multi-vehicle Collision',Police,5590,5590,other-service,N
'Major Damage',polo,92x,51040,63800,'Single Vehicle Collision',Other,6380,6380,adm-clerical,Y
'Total Loss',cross-fit,95,43620,58160,'Single Vehicle Collision',Police,7270,7270,farming-fishing,Y
'Minor Damage',chess,C300,4410,6300,'Vehicle Theft',Police,1260,630,armed-forces,Y
'Major Damage',yachting,ML350,66570,104610,'Single Vehicle Collision',Fire,19020,19020,sales,Y
'Major Damage',sleeping,Fusion,50800,69850,'Multi-vehicle Collision',Fire,6350,12700,exec-managerial,N
'Minor Damage',polo,MDX,44030,62900,'Single Vehicle Collision',Fire,6290,12580,priv-house-serv,N
'Major Damage',golf,Passat,46410,59670,'Multi-vehicle Collision',Other,6630,6630,handlers-cleaners,Y
'Minor Damage',camping,'3 Series',57050,81500,'Multi-vehicle Collision',Other,8150,16300,armed-forces,N
'Minor Damage',video-games,Wrangler,30000,50000,'Single Vehicle Collision',Ambulance,5000,15000,armed-forces,N
'Total Loss',exercise,Maxima,30730,48290,'Single Vehicle Collision',Other,8780,8780,adm-clerical,N
'Total Loss',golf,Malibu,48330,59070,'Single Vehicle Collision',Fire,5370,5370,other-service,N
'Minor Damage',yachting,RAM,44310,63300,'Multi-vehicle Collision',Police,6330,12660,armed-forces,N
'Total Loss',exercise,ML350,41860,65780,'Single Vehicle Collision',Other,11960,11960,prof-specialty,N
'Total Loss',cross-fit,Neon,52200,75400,'Multi-vehicle Collision',Ambulance,11600,11600,transport-moving,Y
'Minor Damage',movies,Corolla,1750,2250,'Vehicle Theft',None,250,250,armed-forces,N
'Minor Damage',reading,'Grand Cherokee',40590,54120,'Multi-vehicle Collision',Ambulance,9020,4510,machine-op-inspct,N
'Major Damage',camping,95,46320,69480,'Multi-vehicle Collision',Other,11580,11580,machine-op-inspct,N
'Minor Damage',reading,Malibu,46350,66950,'Single Vehicle Collision',Police,10300,10300,adm-clerical,N
